title,speaker,date,rated_bool,ratings,duration,url
"The mothers who found forgiveness, friendship",Aicha el-Wafi + Phyllis Rodriguez,May 2011,True,"Inspiring, Courageous",9:54,https://www.ted.com/talks/9_11_healing_the_mothers_who_found_forgiveness_friendship
A choir as big as the Internet,Eric Whitacre,Apr 2010,True,"Beautiful, Inspiring",4:15,https://www.ted.com/talks/a_choir_as_big_as_the_internet
My year of living biblically,AJ Jacobs,Jul 2008,True,"Funny, Fascinating",17:40,https://www.ted.com/talks/a_j_jacobs_year_of_living_biblically
A robot that flies like a bird,Markus Fischer,Jul 2011,True,"Ingenious, Fascinating",6:19,https://www.ted.com/talks/a_robot_that_flies_like_a_bird
A TED speaker's worst nightmare,Colin Robertson,Mar 2012,True,"Funny, Ingenious",3:49,https://www.ted.com/talks/a_ted_speaker_s_worst_nightmare
A whistleblower you haven't heard,Geert Chatrou,Feb 2011,True,"Beautiful, Fascinating",11:56,https://www.ted.com/talks/a_whistleblower_you_haven_t_heard
"A dance in a hurricane of paper, wind and light",Aakash Odedra,Dec 2014,True,"Beautiful, Fascinating",9:50,https://www.ted.com/talks/aakash_odedra_a_dance_in_a_hurricane_of_paper_wind_and_light
What it's like to be a parent in a war zone,Aala El-Khani,Feb 2017,True,"Informative, Inspiring",14:16,https://www.ted.com/talks/aala_el_khani_what_it_s_like_to_be_a_parent_in_a_war_zone
America's native prisoners of war,Aaron Huey,Nov 2010,True,"Courageous, Informative",15:27,https://www.ted.com/talks/aaron_huey
Visualizing ourselves ... with crowd-sourced data,Aaron Koblin,May 2011,True,"Fascinating, Inspiring",18:18,https://www.ted.com/talks/aaron_koblin
Making sense of a visible quantum object,Aaron O'Connell,Jun 2011,True,"Fascinating, Ingenious",7:51,https://www.ted.com/talks/aaron_o_connell_making_sense_of_a_visible_quantum_object
New video technology that reveals an object's hidden properties,Abe Davis,May 2015,True,"Fascinating, Inspiring",17:57,https://www.ted.com/talks/abe_davis_new_video_technology_that_reveals_an_object_s_hidden_properties
"Life in the ""digital now""",Abha Dawesar,Oct 2013,True,"Inspiring, Persuasive",12:01,https://www.ted.com/talks/abha_dawesar_life_in_the_digital_now
Why some people are more altruistic than others,Abigail Marsh,Sep 2016,True,"Inspiring, Informative",12:21,https://www.ted.com/talks/abigail_marsh_why_some_people_are_more_altruistic_than_others
Building US-China relations ... by banjo,Abigail Washburn,Apr 2012,True,"Inspiring, Beautiful",6:34,https://www.ted.com/talks/abigail_washburn_building_us_china_relations_by_banjo
A doctor's touch,Abraham Verghese,Sep 2011,True,"Inspiring, Beautiful",18:32,https://www.ted.com/talks/abraham_verghese_a_doctor_s_touch
How I turned a deadly plant into a thriving business,Achenyo Idachaba,Jan 2016,True,"Inspiring, Ingenious",7:17,https://www.ted.com/talks/achenyo_idachaba_how_i_turned_a_deadly_plant_into_a_thriving_business
Why our screens make us less happy,Adam Alter,Jul 2017,True,"Inspiring, Informative",9:29,https://www.ted.com/talks/adam_alter_why_our_screens_make_us_less_happy
What we learned from teetering on the fiscal cliff,Adam Davidson,Dec 2012,True,"Informative, Persuasive",19:48,https://www.ted.com/talks/adam_davidson_what_we_learned_from_teetering_on_the_fiscal_cliff
We can start winning the war against cancer,Adam de la Zerda,Oct 2016,True,"Informative, Fascinating",12:42,https://www.ted.com/talks/adam_de_la_zerda_how_we_can_start_winning_the_war_against_cancer
My journey from Marine to actor,"Adam Driver, Jesse J Perez and Matt Johnson",May 2016,True,"Beautiful, Inspiring",18:02,https://www.ted.com/talks/adam_driver_my_journey_from_marine_to_actor
A prosecutor's vision for a better justice system,Adam Foss,Mar 2016,True,"Inspiring, Persuasive",15:57,https://www.ted.com/talks/adam_foss_a_prosecutor_s_vision_for_a_better_justice_system
How to speak up for yourself,Adam Galinsky,Nov 2016,True,"Inspiring, Informative",15:08,https://www.ted.com/talks/adam_galinsky_how_to_speak_up_for_yourself
"Healthier men, one moustache at a time",Adam Garone,Nov 2012,True,"Inspiring, Funny",16:41,https://www.ted.com/talks/adam_garone_healthier_men_one_moustache_at_a_time
Are you a giver or a taker?,Adam Grant,Jan 2017,True,"Inspiring, Informative",13:28,https://www.ted.com/talks/adam_grant_are_you_a_giver_or_a_taker
The surprising habits of original thinkers,Adam Grant,Apr 2016,True,"Inspiring, Informative",15:25,https://www.ted.com/talks/adam_grant_the_surprising_habits_of_original_thinkers
A mobile fridge for vaccines,Adam Grosser,Jun 2008,True,"Ingenious, Informative",3:31,https://www.ted.com/talks/adam_grosser_and_his_sustainable_fridge
After your final status update,Adam Ostrow,Aug 2011,True,"Fascinating, Informative",5:29,https://www.ted.com/talks/adam_ostrow_after_your_final_status_update
How to engineer a viral music video,Adam Sadowsky,Jun 2010,True,"Ingenious, Funny",14:28,https://www.ted.com/talks/adam_sadowsky_engineers_a_viral_music_video
My love letter to cosplay,Adam Savage,Jul 2016,True,"Funny, Beautiful",13:07,https://www.ted.com/talks/adam_savage_my_love_letter_to_cosplay
My obsession with objects and the stories they tell,Adam Savage,Mar 2009,True,"Funny, Fascinating",15:38,https://www.ted.com/talks/adam_savage_s_obsessions
